"","iteration","int.f0","app.mthd.os.f0","man.dm.f0","man.source.pig.f0","int.r1","app.mthd.bc.r1","man.dm.r1","air.temp.r1","wind.sqrt.r1","app.mthd.ts.r1","man.ph.r1","int.r2","rain.rate.r2","int.r3","app.mthd.bc.r3","rain.rate.r5","int.r5","man.ph.r3","app.mthd.cs.f0","app.mthd.cs.r3","incorp.shallow.f4","incorp.shallow.r3","incorp.deep.f4","incorp.deep.r3"
"iteration",1,-0.057,0.097,0.016,-0.042,-0.164,0.12,0.099,0.012,0.044,-0.021,0.063,-0.141,0.161,0.022,0.101,-0.017,NA,NA,-0.079,-0.083,NA,NA,NA,NA
"int.f0",-0.057,1,-0.164,-0.252,-0.296,-0.18,-0.101,0.545,-0.655,-0.513,-0.077,-0.626,0.228,-0.294,-0.423,-0.32,0.2,NA,NA,0.022,0.269,NA,NA,NA,NA
"app.mthd.os.f0",0.097,-0.164,1,0.176,0.37,-0.023,0.008,-0.149,0.036,0.066,0.094,0.044,0.016,0.061,-0.207,0.051,-0.156,NA,NA,0.052,0.044,NA,NA,NA,NA
"man.dm.f0",0.016,-0.252,0.176,1,0.125,-0.132,-0.314,-0.756,0.587,0.483,0.277,0.519,-0.072,0.602,0.493,-0.03,0.165,NA,NA,0.017,-0.43,NA,NA,NA,NA
"man.source.pig.f0",-0.042,-0.296,0.37,0.125,1,0.347,-0.294,-0.21,0.01,-0.117,-0.294,-0.011,-0.01,0.056,-0.253,0.207,-0.204,NA,NA,-0.334,0.257,NA,NA,NA,NA
"int.r1",-0.164,-0.18,-0.023,-0.132,0.347,1,-0.602,-0.327,-0.116,-0.324,-0.742,-0.055,0.221,-0.22,-0.23,-0.058,0.03,NA,NA,-0.26,0.249,NA,NA,NA,NA
"app.mthd.bc.r1",0.12,-0.101,0.008,-0.314,-0.294,-0.602,1,0.442,0.012,0.344,0.516,-0.056,0.049,-0.009,0.159,-0.02,-0.167,NA,NA,0.165,-0.185,NA,NA,NA,NA
"man.dm.r1",0.099,0.545,-0.149,-0.756,-0.21,-0.327,0.442,1,-0.636,-0.402,0.037,-0.524,0.189,-0.508,-0.399,-0.043,-0.052,NA,NA,0.083,0.285,NA,NA,NA,NA
"air.temp.r1",0.012,-0.655,0.036,0.587,0.01,-0.116,0.012,-0.636,1,0.831,0.27,0.793,-0.265,0.525,0.59,0.179,-0.048,NA,NA,0.092,-0.46,NA,NA,NA,NA
"wind.sqrt.r1",0.044,-0.513,0.066,0.483,-0.117,-0.324,0.344,-0.402,0.831,1,0.332,0.589,-0.004,0.57,0.563,0.102,-0.168,NA,NA,0.113,-0.461,NA,NA,NA,NA
