parameter,mn,md,se,l90,u90
int.f0,0.867486184331685,0.828047860412818,0.775205760110467,0.0652131394473341,1.71112699633632
app.mthd.os.f0,-2.93498815168097,-2.89610477707604,0.923060178016343,-3.65627404078367,-1.95505933936107
app.rate.ni.f0,-0.0117240966515799,-0.0102446940406428,0.018268565220639,-0.0296532515226668,0.0065659566958615
man.dm.f0,0.512783464747395,0.479031606352785,0.188738497488919,0.223018356186014,0.824617266342462
man.source.pig.f0,-0.820495110963286,-0.909551105220101,0.415342919198733,-1.29364846849062,-0.124002822632183
app.mthd.cs.f0,-5.00093760080681,-4.99999429019241,2.4110552123736,-8.14788776147136,-1.31947660436483
int.r1,-1.52959401174171,-1.48114462019946,0.199558585313241,-1.93143041189842,-1.30384074835505
app.mthd.bc.r1,0.560178155174879,0.609757373278068,0.27301601698554,0.159850171740237,0.971142949818844
man.dm.r1,-0.0538918660227027,-0.0323257321593909,0.0756609225720347,-0.17569750377495,0.0488361620827647
air.temp.r1,0.0402252611754849,0.0342253986583338,0.0146766011372093,0.0282969083096506,0.0707230498959227
wind.sqrt.r1,0.538703142893877,0.534852945072634,0.200811613490968,0.193159678797982,0.946320887122425
app.mthd.ts.r1,-0.161392761702328,-0.133072175492794,0.316975739540117,-0.348777713276978,0.125637946290496
man.ph.r1,0.345203076308234,0.332220223868045,0.18242188245155,0.0706485091557458,0.625608330640574
int.r2,-1.33404563636171,-1.27533515726801,0.279679914188195,-1.84733224857643,-1.01977944640407
rain.rate.r2,0.923628057925302,0.693981299849505,1.19893259417581,0.00212304393439928,2.19563572088836
int.r3,-2.75951322715247,-2.75414632992765,0.0613321897481798,-2.87698448855462,-2.66876125185999
app.mthd.bc.r3,0.240242743663574,0.225400148815065,0.128314862026678,0.0511624534731135,0.4971817047931
app.mthd.cs.r3,-0.11977840643517,-0.0886136547966577,0.0872173878699434,-0.314520719880967,-0.0227210556329377
man.ph.r3,0.133490365413049,0.120706756737654,0.102331306085228,0.0140082686406839,0.303413268724253
incorp.deep.f4,-3.98445853085852,-3.05050634725714,3.42167724002191,-9.50766515145631,-0.301813387853283
incorp.deep.r3,-6.99304767853799,-7.00947057717187,4.36678744393616,-13.8773934649163,-0.514232820652533
rain.rate.r5,-0.12640932944225,0.0860626186134755,1.95449752608373,-1.86677967875224,1.26469689467476
int.r5,-1.8,-1.8,0,-1.8,-1.8
incorp.shallow.f4,-1.68938111762296,-1.68938111762296,0,-1.68938111762296,-1.68938111762296
incorp.shallow.r3,0.0381823408406122,0.0381823408406122,0,0.0381823408406122,0.0381823408406122
