pars,dataset,app.mthd,rmse,me,mae,mbe,n
ps1,1,bc,0.2658,0.1091,0.2049,-0.1216,187
ps1,1,bsth,0.1156,-0.218,0.09296,0.002774,189
ps1,1,cs,0.2258,-34.36,0.2065,0.2065,15
ps1,1,os,0.1165,-0.123,0.09096,0.008939,85
ps1,1,ts,0.1648,0.4049,0.1245,-0.01061,97
ps2,1,bc,0.2263,0.3544,0.1761,-0.04968,187
ps2,1,bsth,0.08522,0.338,0.06301,-0.004141,189
ps2,1,cs,0.1545,-15.55,0.0973,0.03113,15
ps2,1,os,0.1016,0.1463,0.08357,0.01388,85
ps2,1,ts,0.1536,0.4829,0.1109,0.004841,97
a,1,bc,0.2473,0.2289,0.1873,-0.1033,187
a,1,bsth,0.1724,-1.708,0.1041,-0.02876,189
a,1,cs,0.1031,-6.371,0.07859,0.009285,15
a,1,os,0.1018,0.1421,0.08369,0.02173,85
a,1,ts,0.1968,0.1513,0.1413,-0.03888,97
b,1,bc,0.2416,0.264,0.1895,0.003621,187
b,1,bsth,0.1814,-1.999,0.1062,0.048,189
b,1,cs,0.133,-11.27,0.09125,0.02577,15
b,1,os,0.1138,-0.07163,0.09119,0.04617,85
b,1,ts,0.1927,0.186,0.135,-0.05428,97
c,1,bc,0.2371,0.2913,0.1811,-0.03308,187
c,1,bsth,0.1153,-0.2111,0.08599,-0.03704,189
c,1,cs,0.1183,-8.708,0.07882,0.07391,15
c,1,os,0.1092,0.01301,0.08742,0.0374,85
c,1,ts,0.1976,0.1446,0.1333,-0.06818,97
d,1,bc,0.2341,0.3091,0.1786,-0.03407,187
d,1,bsth,0.1198,-0.3071,0.09051,-0.03906,189
d,1,cs,0.1223,-9.373,0.08007,0.06584,15
d,1,os,0.1014,0.1493,0.08531,0.01075,85
d,1,ts,0.1938,0.1769,0.1347,-0.05185,97
i1,1,bc,0.1992,0.4996,0.1629,-0.002686,187
i1,1,bsth,0.09331,0.2064,0.07024,-0.0144,189
i1,1,cs,0.1014,-6.136,0.07396,0.02212,15
