pars,dataset,app.mthd,rmse,me,mae,mbe,n
f2,1,bc,0.1662,0.6518,0.1294,0.002591,187
f3,1,bc,0.1787,0.5971,0.1431,0.009312,187
f4,1,bc,0.1792,0.5952,0.1431,0.006094,187
f5,1,bc,0.1825,0.5801,0.1463,0.01156,187
f1,1,bc,0.1856,0.5653,0.1374,-0.01491,187
ps2,1,bc,0.2145,0.4197,0.164,-0.08811,187
ps1,1,bc,0.257,0.1672,0.1916,-0.1511,187
ps2,1,bsth,0.08396,0.3575,0.06169,-0.005857,189
f5,1,bsth,0.09216,0.2259,0.06909,-0.009657,189
f1,1,bsth,0.09304,0.211,0.06308,-0.0212,189
f3,1,bsth,0.09326,0.2072,0.06941,-0.01138,189
f2,1,bsth,0.09344,0.2043,0.06888,-0.01526,189
f4,1,bsth,0.09415,0.1921,0.06717,-0.00825,189
ps1,1,bsth,0.1151,-0.2074,0.09232,0.00213,189
f1,1,cs,0.0319,0.2943,0.02821,-0.002979,15
f4,1,cs,0.03303,0.2438,0.02844,0.00669,15
f5,1,cs,0.03763,0.01806,0.0338,0.003546,15
f3,1,cs,0.0392,-0.06523,0.03611,-0.00776,15
f2,1,cs,0.04062,-0.1438,0.03334,0.01073,15
ps2,1,cs,0.04605,-0.4701,0.03514,-0.03176,15
ps1,1,cs,0.2258,-34.36,0.2065,0.2065,15
f4,1,os,0.09515,0.2509,0.07789,0.002621,85
f3,1,os,0.09768,0.2105,0.08183,0.007478,85
f5,1,os,0.09968,0.1777,0.08172,0.002511,85
ps2,1,os,0.1016,0.1463,0.08357,0.01388,85
f2,1,os,0.1046,0.09542,0.08513,0.007517,85
f1,1,os,0.1081,0.03373,0.08438,-0.03005,85
ps1,1,os,0.1165,-0.123,0.09096,0.008939,85
f5,1,ts,0.1429,0.5524,0.09994,0.001421,97
f4,1,ts,0.1448,0.5403,0.1001,-0.01001,97
f1,1,ts,0.1496,0.5099,0.1093,-0.01361,97
f2,1,ts,0.1526,0.4896,0.1154,0.008076,97
ps2,1,ts,0.1536,0.4829,0.1109,0.004841,97
f3,1,ts,0.1538,0.4816,0.1134,0.008484,97
ps1,1,ts,0.1648,0.4049,0.1245,-0.01061,97
f2,2,bc,0.1788,0.5871,0.1427,0.009881,128
f5,2,bc,0.1827,0.5689,0.1539,0.02959,128
f3,2,bc,0.1849,0.5585,0.1541,0.01526,128
f4,2,bc,0.1853,0.5563,0.1559,0.01603,128
f1,2,bc,0.1956,0.506,0.1521,-0.01678,128
ps2,2,bc,0.2212,0.368,0.172,-0.08081,128
ps1,2,bc,0.2759,0.01711,0.211,-0.1726,128
ps2,2,bsth,0.0855,0.368,0.06412,-0.003697,161
f5,2,bsth,0.0939,0.2376,0.06932,-0.01221,161
f1,2,bsth,0.09476,0.2236,0.06516,-0.01999,161
f2,2,bsth,0.0957,0.208,0.07252,-0.01151,161
f3,2,bsth,0.09633,0.1976,0.07188,-0.01129,161
f4,2,bsth,0.09672,0.1911,0.07045,-0.002688,161
ps1,2,bsth,0.1214,-0.2746,0.09997,0.008781,161
f4,2,cs,0.03199,0.2054,0.02643,-0.0007591,12
f1,2,cs,0.03311,0.1491,0.02879,-0.0102,12
f5,2,cs,0.03401,0.1019,0.02995,-0.007871,12
f2,2,cs,0.04003,-0.2436,0.03106,0.00279,12
f3,2,cs,0.04035,-0.2641,0.03669,-0.01814,12
ps2,2,cs,0.05139,-1.05,0.04263,-0.04008,12
ps1,2,cs,0.2297,-39.95,0.2078,0.2078,12
f4,2,os,0.09515,0.2509,0.07789,0.002621,85
f3,2,os,0.09768,0.2105,0.08183,0.007478,85
f5,2,os,0.09968,0.1777,0.08172,0.002511,85
ps2,2,os,0.1016,0.1463,0.08357,0.01388,85
f2,2,os,0.1046,0.09542,0.08513,0.007517,85
f1,2,os,0.1081,0.03373,0.08438,-0.03005,85
ps1,2,os,0.1165,-0.123,0.09096,0.008939,85
f5,2,ts,0.1429,0.5524,0.09994,0.001421,97
f4,2,ts,0.1448,0.5403,0.1001,-0.01001,97
f1,2,ts,0.1496,0.5099,0.1093,-0.01361,97
f2,2,ts,0.1526,0.4896,0.1154,0.008076,97
ps2,2,ts,0.1536,0.4829,0.1109,0.004841,97
f3,2,ts,0.1538,0.4816,0.1134,0.008484,97
ps1,2,ts,0.1648,0.4049,0.1245,-0.01061,97
