pars,dataset,digested,rmse,me,mae,mbe,er.mn,er.md,n
f1,1,FALSE,0.131232805465666,0.644362887495688,0.0922744319261476,-0.0193936323291383,0.246294584986879,0.176190878383441,693
f2,1,FALSE,0.124429744610987,0.680279363721617,0.092356225769799,0.00281310268201524,0.268501319998033,0.19876121818613,693
f3,1,FALSE,0.124171319315885,0.681606025609305,0.0921820819521239,0.00359744542517246,0.26928566274119,0.198698904458929,693
f4,1,FALSE,0.124719048789535,0.67879090860344,0.0918897440692427,0.0040759419411684,0.269764159257186,0.198675990068109,693
f5,1,FALSE,0.125081144489839,0.676923074128466,0.0921865704976495,0.00483649742309048,0.270524714739108,0.20020612208208,693
f6,1,FALSE,0.125273859562448,0.675926764772809,0.0914658880834122,0.00347648460481925,0.269164701920837,0.201073538627192,693
f7,1,FALSE,0.12465906780202,0.679099791741894,0.0919400605093392,0.00299988808574543,0.268688105401763,0.192702896676253,693
f8,1,FALSE,0.125349787902087,0.675533804905587,0.0915721927948298,0.00343625958450239,0.26912447690052,0.201360813237567,693
f9,1,FALSE,0.12526303747015,0.675982754090748,0.0914517553661525,0.00346119842591133,0.269149415741929,0.201039871757614,693
f10,1,FALSE,0.125240020450502,0.676101819160096,0.0920455939545885,0.00179841164573423,0.267486628961752,0.199398212032153,693
f11,1,FALSE,0.125863794580442,0.672867350710326,0.0938408749948223,0.000540568983191542,0.266228786299209,0.186929357754544,693
f12,1,FALSE,0.124446029500926,0.680195670612701,0.0908189317166589,0.00315825685533663,0.268846474171354,0.199763017542729,693
f13,1,FALSE,0.124237390050252,0.681267104826,0.0901432312567226,0.00271567782151643,0.268403895137534,0.195753525213693,693
f14,1,FALSE,0.124041736619359,0.68227021798148,0.0901728930571826,0.00284466429901716,0.268532881615035,0.195678866998281,693
f20,1,FALSE,0.126986436728506,0.667005605360944,0.0925073038594206,0.00171314487134435,0.267401362187362,0.198423194960081,693
f21,1,FALSE,0.125243824172122,0.676082144343409,0.0909696258034639,0.00275870590873918,0.268446923224757,0.194740616386899,693
f22,1,FALSE,0.126684837032253,0.66858548658774,0.0927412104058539,0.00300997247088334,0.268698189786901,0.199635489049836,693
f23,1,FALSE,0.125631222391084,0.674075190729234,0.0920017117563093,0.00365161117772087,0.269339828493738,0.193896223449558,693
f24,1,FALSE,0.125632643954157,0.674067814771477,0.092002057241734,0.00365255476528626,0.269340772081304,0.193907589368144,693
f25,1,FALSE,0.125565517928516,0.674416015472196,0.0918380221742285,0.00330558123037495,0.268993798546392,0.194646041942187,693
f26,1,FALSE,0.123995250444622,0.682508319687253,0.0902652947810348,0.00330640436058537,0.268994621676603,0.188914658644531,693
f27,1,FALSE,0.125398595471501,0.675281080274408,0.0911638378177413,0.00248109705300618,0.268169314369024,0.194695318666607,693
f28,1,FALSE,0.126812954628685,0.667914822252602,0.0923630531480861,0.00128911485073099,0.266977332166748,0.198089005244074,693
f29,1,FALSE,0.126812563344548,0.667916871561555,0.092362084516279,0.00128675144667418,0.266974968762692,0.198068226753121,693
ps3,1,FALSE,0.126812563344548,0.667916871561555,0.092362084516279,0.00128675144667418,0.266974968762692,0.198068226753121,693
