parameter,mn,md,se,l90,u90,min,max
int.f0,0.745805010374478,0.521258981762111,1.74952835902949,-2,3.79967892181771,-2,4
app.mthd.os.f0,-2.52843996471774,-2.70480326376161,1.11754107222532,-3.50812212144504,-0.583804321041742,-5,0.213788013922736
app.rate.ni.f0,0.0920930838683768,0.0294449302408063,0.295393023263529,-0.311703321039465,0.5,-0.499999999997934,0.5
man.dm.f0,0.720546854132867,0.495044590035964,0.646246436894371,-0.0386866429243888,2,-0.21691602879685,2
man.source.pig.f0,-1.09040196238624,-0.864741325282276,0.976173912828991,-3,-0.0878443690558573,-3,1
app.mthd.cs.f0,-4.99990791944979,-5,0.00034453387085617,-5,-4.99954880530399,-5,-4.99871087229712
int.r1,-1.56940469979716,-1.50308092143655,0.52999998542267,-2.41900652505123,-1.03031503070136,-3,-0.922819518319305
app.mthd.bc.r1,0.348482435989338,0.468085755076424,0.526448781283103,-0.503538223051203,1,-1,1
man.dm.r1,-0.233564367902501,-0.128019540121184,0.347764153989362,-0.885698612968147,0.126425613897322,-0.999998201407138,0.2
air.temp.r1,0.0494181307755905,0.0320978978838548,0.0732116112312702,-0.022328320883034,0.2,-0.0427109742256815,0.2
wind.sqrt.r1,0.499088990027562,0.357179275131542,0.931407290244826,-0.745239502182605,2,-1,2
app.mthd.ts.r1,-0.217893984350128,-0.113185417378998,0.657738159550466,-1.39398174001369,0.445002424238317,-2,1
man.ph.r1,0.250180654751686,0.241949670387214,0.570550753953312,-0.640889969734752,1,-1,1
int.r2,-1.38331742734924,-1.17508835402548,0.736464547253168,-3,-0.627922676042896,-3,-0.47536196955773
rain.rate.r2,0.52281018460417,0.569540079571525,0.567986163617429,-0.570211195082283,1,-1,1
int.r3,-2.7827899903893,-2.774552708584,0.366362154108806,-3.31401120757268,-2.19828927625374,-3.33746294667497,-2.14876535060094
app.mthd.bc.r3,0.0431501825008516,0.211600430188921,0.453909729898285,-0.77534417912446,0.495908749693284,-1,0.534321935881419
app.mthd.cs.r3,-0.0746259420539017,-0.0797522893169919,0.0191810351041098,-0.0797522893169919,-0.0546331877278501,-0.0797522893169919,-0.00798342763372937
man.ph.r3,0.225743479777667,0.170909337297047,0.57826182620167,-0.552131971787485,0.994438375049588,-1,1
incorp.shallow.f4,-1.50358325439098,-1.52044300586066,0.651233834176514,-2.12707968820576,-0.696542416304136,-3.2536906697038,0
incorp.shallow.r3,-0.0872151782943756,0,0.310254569038669,-0.444499175882107,0,-1.16386315532237,0
incorp.deep.f4,-2.32163357010239,-2.11601514664478,0.769353692987006,-3.1235454215871,-2.11601514664478,-4.99467307505142,-2.11601514664478
incorp.deep.r3,-1.99998481587889,-2,5.68137789129478e-05,-2,-1.99992559780656,-2,-1.99978742230446
rain.rate.r5,0.0766046364490454,0.115140242502224,0.772439439314943,-0.895238630640937,1,-1,1
int.r5,-1.8,-1.8,0,-1.8,-1.8,-1.8,-1.8
