iteration,parameter,value,parset
1,int.f0,-0.662759035943492,3-001
2,int.f0,1.38205700553124,3-002
3,int.f0,0.439410149956574,3-003
4,int.f0,0.630281104117699,3-004
5,int.f0,0.0210837628845669,3-005
6,int.f0,0.175170160752495,3-006
7,int.f0,1.18028395870741,3-007
8,int.f0,1.23960911670651,3-008
9,int.f0,1.01475036078193,3-009
10,int.f0,0.826390889457171,3-010
11,int.f0,0.737758095221283,3-011
12,int.f0,0.696990303631247,3-012
13,int.f0,1.74930973505554,3-013
14,int.f0,0.0621182476483933,3-014
15,int.f0,0.199316711666227,3-015
16,int.f0,1.37790980113173,3-016
17,int.f0,0.817376744974504,3-017
18,int.f0,1.16908294358441,3-018
19,int.f0,0.719684143186264,3-019
20,int.f0,0.775119073424973,3-020
21,int.f0,1.25899590571622,3-021
22,int.f0,0.710355424674736,3-022
23,int.f0,0.753041413246926,3-023
24,int.f0,1.46705329223614,3-024
25,int.f0,0.133612939555362,3-025
26,int.f0,0.67199473801678,3-026
27,int.f0,-0.521134135227526,3-027
28,int.f0,1.11127907485801,3-028
29,int.f0,1.84154347169648,3-029
30,int.f0,-0.169806086195903,3-030
31,int.f0,1.14645563170905,3-031
32,int.f0,0.484359589206314,3-032
33,int.f0,1.08239313596674,3-033
34,int.f0,0.487128591241015,3-034
35,int.f0,0.194153550146952,3-035
36,int.f0,0.699709206417509,3-036
37,int.f0,0.897874605948633,3-037
38,int.f0,0.691400594494637,3-038
39,int.f0,1.1532511471424,3-039
40,int.f0,1.08245295728753,3-040
41,int.f0,0.668215126008504,3-041
42,int.f0,-0.152872307217889,3-042
43,int.f0,1.49908452385344,3-043
44,int.f0,0.0983565328645397,3-044
45,int.f0,0.655560833062637,3-045
46,int.f0,0.409925984738669,3-046
47,int.f0,1.23075102514491,3-047
48,int.f0,1.25294928315501,3-048
49,int.f0,2.73759823344096,3-049
50,int.f0,0.472479430450642,3-050
51,int.f0,0.42722919167232,3-051
52,int.f0,0.790800992967479,3-052
53,int.f0,1.32953967717555,3-053
54,int.f0,0.943319855513463,3-054
55,int.f0,1.64331904907127,3-055
56,int.f0,1.29415142317124,3-056
57,int.f0,1.19391739229894,3-057
58,int.f0,1.31239061221461,3-058
59,int.f0,0.823073546190679,3-059
60,int.f0,0.268227388118306,3-060
61,int.f0,1.72661776460148,3-061
62,int.f0,-0.0884324804616241,3-062
63,int.f0,1.98462873430558,3-063
64,int.f0,0.548348859908254,3-064
65,int.f0,0.540371884857579,3-065
66,int.f0,1.15043551556611,3-066
67,int.f0,0.465696165866704,3-067
68,int.f0,0.441115623635284,3-068
69,int.f0,0.615315368870396,3-069
70,int.f0,0.995077985006373,3-070
71,int.f0,-0.200310396145952,3-071
72,int.f0,1.48999380630348,3-072
73,int.f0,0.822102663965979,3-073
74,int.f0,1.29475405828433,3-074
75,int.f0,0.402513144981082,3-075
76,int.f0,0.117685296893595,3-076
77,int.f0,0.900323413314564,3-077
78,int.f0,0.285556437848714,3-078
79,int.f0,0.45603887613579,3-079
80,int.f0,1.15278838175904,3-080
81,int.f0,0.928578394568654,3-081
82,int.f0,0.21059443375972,3-082
83,int.f0,1.52761274567788,3-083
84,int.f0,1.25405554369854,3-084
85,int.f0,0.410803347208917,3-085
86,int.f0,0.240284316475933,3-086
87,int.f0,1.11952255250282,3-087
88,int.f0,1.08788398051024,3-088
89,int.f0,2.07287247544489,3-089
90,int.f0,1.16101266568714,3-090
91,int.f0,0.578660499644108,3-091
92,int.f0,0.868797162768845,3-092
93,int.f0,1.4579133134287,3-093
94,int.f0,1.25603503382129,3-094
95,int.f0,1.01003559547239,3-095
96,int.f0,1.07850962200196,3-096
97,int.f0,1.12351726231777,3-097
98,int.f0,1.29993303509142,3-098
99,int.f0,-0.102839880283539,3-099
100,int.f0,1.63107226570026,3-100
1,app.mthd.os.f0,-2.1079035859516,3-001
2,app.mthd.os.f0,-2.83161258942057,3-002
3,app.mthd.os.f0,-2.91369654308637,3-003
4,app.mthd.os.f0,-2.50668802424765,3-004
5,app.mthd.os.f0,-2.72179591818052,3-005
6,app.mthd.os.f0,-2.3593383109781,3-006
7,app.mthd.os.f0,-3.45906463706858,3-007
8,app.mthd.os.f0,-3.12836895948235,3-008
9,app.mthd.os.f0,-2.64254005733733,3-009
10,app.mthd.os.f0,-3.74539803485851,3-010
11,app.mthd.os.f0,-3.24404400426043,3-011
12,app.mthd.os.f0,-1.73231909109567,3-012
13,app.mthd.os.f0,-3.67799849890168,3-013
14,app.mthd.os.f0,-2.6002947210269,3-014
15,app.mthd.os.f0,-2.38074777652931,3-015
16,app.mthd.os.f0,-2.78146464327901,3-016
17,app.mthd.os.f0,-2.02718754813592,3-017
18,app.mthd.os.f0,-2.27855534662706,3-018
19,app.mthd.os.f0,-3.31731644557982,3-019
20,app.mthd.os.f0,-2.42900693024452,3-020
21,app.mthd.os.f0,-2.86237091136705,3-021
22,app.mthd.os.f0,-2.2678598628218,3-022
23,app.mthd.os.f0,-2.11875293517076,3-023
24,app.mthd.os.f0,-0.358918164064348,3-024
25,app.mthd.os.f0,-0.743480940666554,3-025
26,app.mthd.os.f0,-2.65967771605012,3-026
27,app.mthd.os.f0,-2.14417826191036,3-027
28,app.mthd.os.f0,-2.8756425024628,3-028
29,app.mthd.os.f0,-3.48442992635232,3-029
30,app.mthd.os.f0,-2.71169319451923,3-030
31,app.mthd.os.f0,-2.85237171650024,3-031
32,app.mthd.os.f0,-2.59807388741525,3-032
33,app.mthd.os.f0,-2.12105431122068,3-033
34,app.mthd.os.f0,-2.62864061642703,3-034
