inst.dropped,parameter,value,parset
1,int.f0,0.610295203093837,3-d1
2,int.f0,0.568499886214301,3-d2
3,int.f0,0.81306915427087,3-d3
4,int.f0,0.529243120973871,3-d4
5,int.f0,0.607017468960322,3-d5
6,int.f0,0.639867232326957,3-d6
7,int.f0,0.606779313647805,3-d7
8,int.f0,0.849742917707777,3-d8
9,int.f0,0.744435991362874,3-d9
10,int.f0,0.630566076554263,3-d10
11,int.f0,0.553275471358279,3-d11
12,int.f0,0.705799512163772,3-d12
13,int.f0,0.337690793033376,3-d13
14,int.f0,0.64263947040988,3-d14
15,int.f0,0.537994478328259,3-d15
1,app.mthd.os.f0,-3.91392870817434,3-d1
2,app.mthd.os.f0,-3.73637874084769,3-d2
3,app.mthd.os.f0,-4.33145758787172,3-d3
4,app.mthd.os.f0,-3.99103612960412,3-d4
5,app.mthd.os.f0,-3.90471198916088,3-d5
6,app.mthd.os.f0,-4.05057842238226,3-d6
7,app.mthd.os.f0,-4.05516198436316,3-d7
8,app.mthd.os.f0,-3.82545376672214,3-d8
9,app.mthd.os.f0,-4.00137441110665,3-d9
10,app.mthd.os.f0,-3.9962758251337,3-d10
11,app.mthd.os.f0,-3.88852667508945,3-d11
12,app.mthd.os.f0,-4.17986855182138,3-d12
13,app.mthd.os.f0,-4.12478775347777,3-d13
14,app.mthd.os.f0,-3.9850050717324,3-d14
15,app.mthd.os.f0,-3.84901853660437,3-d15
1,man.dm.f0,0.792588077409807,3-d1
2,man.dm.f0,0.979152506313426,3-d2
3,man.dm.f0,0.866570352823535,3-d3
4,man.dm.f0,0.838188806437218,3-d4
5,man.dm.f0,0.839931119057904,3-d5
6,man.dm.f0,0.855042855838097,3-d6
7,man.dm.f0,0.855562744308518,3-d7
8,man.dm.f0,0.74708741619813,3-d8
9,man.dm.f0,0.841549843551498,3-d9
10,man.dm.f0,0.854367280846051,3-d10
11,man.dm.f0,0.809565342000062,3-d11
12,man.dm.f0,0.896229935096315,3-d12
13,man.dm.f0,0.696814545213519,3-d13
14,man.dm.f0,0.845796145422171,3-d14
15,man.dm.f0,0.755554455005511,3-d15
1,man.source.pig.f0,-0.324690369893009,3-d1
2,man.source.pig.f0,-0.225730831692702,3-d2
3,man.source.pig.f0,-0.962590596306586,3-d3
4,man.source.pig.f0,-0.81104384144901,3-d4
5,man.source.pig.f0,-0.670660209661122,3-d5
6,man.source.pig.f0,-0.830366570132884,3-d6
7,man.source.pig.f0,-0.768830127455004,3-d7
8,man.source.pig.f0,-0.85849502248902,3-d8
9,man.source.pig.f0,-0.849390574764741,3-d9
10,man.source.pig.f0,-0.807950002666314,3-d10
11,man.source.pig.f0,-0.776295143393681,3-d11
12,man.source.pig.f0,-0.810039080336675,3-d12
13,man.source.pig.f0,-1.25160819829079,3-d13
14,man.source.pig.f0,-0.749228530318259,3-d14
15,man.source.pig.f0,-0.871088422960798,3-d15
1,app.mthd.cs.f0,-7.17030230482066,3-d1
2,app.mthd.cs.f0,-6.01188671208656,3-d2
3,app.mthd.cs.f0,-6.00299477254893,3-d3
4,app.mthd.cs.f0,-7.45391960932761,3-d4
5,app.mthd.cs.f0,-6.38527259579758,3-d5
6,app.mthd.cs.f0,-6.27733627896407,3-d6
7,app.mthd.cs.f0,-6.12891204461373,3-d7
8,app.mthd.cs.f0,-6.28524566680547,3-d8
9,app.mthd.cs.f0,-6.66864958122559,3-d9
10,app.mthd.cs.f0,-6.87427147719067,3-d10
11,app.mthd.cs.f0,-6.40625448740317,3-d11
12,app.mthd.cs.f0,-7.71509367986105,3-d12
13,app.mthd.cs.f0,-5.10981487006843,3-d13
14,app.mthd.cs.f0,-6.80336906836066,3-d14
15,app.mthd.cs.f0,-5.88984471990427,3-d15
1,int.r1,-1.80431767716597,3-d1
2,int.r1,-1.82639673233333,3-d2
3,int.r1,-1.76948621907448,3-d3
4,int.r1,-1.77567468441866,3-d4
5,int.r1,-1.82077798150479,3-d5
6,int.r1,-1.790245093463,3-d6
7,int.r1,-1.79989278375766,3-d7
8,int.r1,-1.77546573815681,3-d8
9,int.r1,-1.82193117365964,3-d9
10,int.r1,-1.79955664817439,3-d10
11,int.r1,-1.79539122105968,3-d11
12,int.r1,-1.81178099544019,3-d12
13,int.r1,-1.82948723459859,3-d13
14,int.r1,-1.81257730664845,3-d14
15,int.r1,-1.80697823948554,3-d15
1,app.mthd.bc.r1,0.654692149229415,3-d1
2,app.mthd.bc.r1,0.606137630149715,3-d2
3,app.mthd.bc.r1,0.627885800463976,3-d3
4,app.mthd.bc.r1,0.676927826527893,3-d4
5,app.mthd.bc.r1,0.694758222903702,3-d5
6,app.mthd.bc.r1,0.647666107019624,3-d6
7,app.mthd.bc.r1,0.664988199339744,3-d7
8,app.mthd.bc.r1,0.69907828345011,3-d8
9,app.mthd.bc.r1,0.687927404245143,3-d9
10,app.mthd.bc.r1,0.663901940300359,3-d10
11,app.mthd.bc.r1,0.688511169983524,3-d11
12,app.mthd.bc.r1,0.721671248937648,3-d12
13,app.mthd.bc.r1,0.683321879956267,3-d13
14,app.mthd.bc.r1,0.694653191789566,3-d14
15,app.mthd.bc.r1,0.698893879225785,3-d15
1,man.dm.r1,-0.0343673390870323,3-d1
2,man.dm.r1,-0.0215767975815145,3-d2
3,man.dm.r1,-0.0352169903988735,3-d3
4,man.dm.r1,-0.0432382380967192,3-d4
5,man.dm.r1,-0.0432869378868487,3-d5
6,man.dm.r1,-0.0320564347935615,3-d6
7,man.dm.r1,-0.0349545626040752,3-d7
8,man.dm.r1,-0.0463373489528493,3-d8
9,man.dm.r1,-0.0358467912564623,3-d9
10,man.dm.r1,-0.0346304802865657,3-d10
11,man.dm.r1,-0.0373476325207146,3-d11
12,man.dm.r1,-0.033898820045555,3-d12
13,man.dm.r1,-0.0658581492104889,3-d13
14,man.dm.r1,-0.0433000969540613,3-d14
15,man.dm.r1,-0.0395769656135669,3-d15
1,air.temp.r1,0.0340789379708821,3-d1
2,air.temp.r1,0.0389838981510856,3-d2
3,air.temp.r1,0.0324700402349105,3-d3
4,air.temp.r1,0.0341387336047814,3-d4
5,air.temp.r1,0.0344080714919466,3-d5
6,air.temp.r1,0.0366510255881377,3-d6
7,air.temp.r1,0.0358112201471853,3-d7
8,air.temp.r1,0.0326117901788942,3-d8
9,air.temp.r1,0.034577743426016,3-d9
10,air.temp.r1,0.0350968474242812,3-d10
11,air.temp.r1,0.0372199549559009,3-d11
12,air.temp.r1,0.0350016484320122,3-d12
13,air.temp.r1,0.0322331625083306,3-d13
14,air.temp.r1,0.0359976825071652,3-d14
15,air.temp.r1,0.0321820197065672,3-d15
1,wind.2m.r1,0.137806577138154,3-d1
2,wind.2m.r1,0.114679055566898,3-d2
3,wind.2m.r1,0.151508878080659,3-d3
4,wind.2m.r1,0.143709937563665,3-d4
5,wind.2m.r1,0.133956691772648,3-d5
6,wind.2m.r1,0.142344017799984,3-d6
7,wind.2m.r1,0.140411805424056,3-d7
8,wind.2m.r1,0.11928079963599,3-d8
9,wind.2m.r1,0.134256173796168,3-d9
10,wind.2m.r1,0.140539332007175,3-d10
11,wind.2m.r1,0.142277245703214,3-d11
12,wind.2m.r1,0.147425224348876,3-d12
13,wind.2m.r1,0.145047816244098,3-d13
14,wind.2m.r1,0.139569805043414,3-d14
15,wind.2m.r1,0.140981920511487,3-d15
1,app.mthd.ts.r1,-0.109954843687343,3-d1
2,app.mthd.ts.r1,-0.0774500421287615,3-d2
3,app.mthd.ts.r1,-0.0999574153264231,3-d3
4,app.mthd.ts.r1,-0.0775963588276583,3-d4
5,app.mthd.ts.r1,-0.0719195609576859,3-d5
6,app.mthd.ts.r1,-0.108959436171163,3-d6
7,app.mthd.ts.r1,-0.0990994392351442,3-d7
8,app.mthd.ts.r1,-0.0821430185879086,3-d8
9,app.mthd.ts.r1,-0.0887493317802537,3-d9
10,app.mthd.ts.r1,-0.104042522790631,3-d10
11,app.mthd.ts.r1,-0.10098228909599,3-d11
12,app.mthd.ts.r1,-0.182380185022074,3-d12
13,app.mthd.ts.r1,-0.0365488633093563,3-d13
14,app.mthd.ts.r1,-0.0799092956053324,3-d14
15,app.mthd.ts.r1,-0.0926178121565649,3-d15
1,man.ph.r1,0.355040457434339,3-d1
2,man.ph.r1,0.373080751830685,3-d2
3,man.ph.r1,0.342196140890716,3-d3
4,man.ph.r1,0.345408734718619,3-d4
5,man.ph.r1,0.361128356754411,3-d5
6,man.ph.r1,0.359523561563325,3-d6
7,man.ph.r1,0.351635807889928,3-d7
8,man.ph.r1,0.346718732773366,3-d8
9,man.ph.r1,0.357025970204133,3-d9
10,man.ph.r1,0.359825056537349,3-d10
11,man.ph.r1,0.335757732997111,3-d11
12,man.ph.r1,0.352958297858605,3-d12
13,man.ph.r1,0.356133540799632,3-d13
14,man.ph.r1,0.357608708198765,3-d14
15,man.ph.r1,0.374678354201463,3-d15
1,int.r2,-1.51272824554013,3-d1
2,int.r2,-1.54269884761969,3-d2
3,int.r2,-1.46619152511912,3-d3
4,int.r2,-1.48374811961647,3-d4
5,int.r2,-1.53029561194265,3-d5
6,int.r2,-1.47704298563364,3-d6
7,int.r2,-1.46943778801865,3-d7
8,int.r2,-1.50382237434667,3-d8
9,int.r2,-1.50042593569812,3-d9
10,int.r2,-1.48640738914124,3-d10
11,int.r2,-1.48572698235225,3-d11
12,int.r2,-1.45160729597734,3-d12
13,int.r2,-1.56594627072199,3-d13
14,int.r2,-1.50835450748037,3-d14
15,int.r2,-1.52843752978988,3-d15
1,rain.rate.r2,1.11893999411854,3-d1
2,rain.rate.r2,1.37793211171739,3-d2
3,rain.rate.r2,1.07576034504405,3-d3
4,rain.rate.r2,1.35350414613968,3-d4
5,rain.rate.r2,1.40811309773138,3-d5
6,rain.rate.r2,1.28836985515999,3-d6
7,rain.rate.r2,1.22732162334432,3-d7
8,rain.rate.r2,1.21587973051023,3-d8
9,rain.rate.r2,1.23422421503642,3-d9
10,rain.rate.r2,1.30445257523067,3-d10
11,rain.rate.r2,1.36611353583816,3-d11
12,rain.rate.r2,1.79581762204811,3-d12
13,rain.rate.r2,1.35165045274986,3-d13
14,rain.rate.r2,1.38442853045322,3-d14
15,rain.rate.r2,1.44750120356709,3-d15
1,int.r3,-2.65779755316669,3-d1
2,int.r3,-2.6471879816627,3-d2
3,int.r3,-2.63343314395086,3-d3
4,int.r3,-2.65394060118699,3-d4
5,int.r3,-2.63603999325663,3-d5
6,int.r3,-2.65082369039575,3-d6
7,int.r3,-2.63486995039381,3-d7
8,int.r3,-2.65911112921081,3-d8
9,int.r3,-2.62291737420621,3-d9
10,int.r3,-2.63793907701835,3-d10
11,int.r3,-2.63684918262407,3-d11
12,int.r3,-2.61360170176276,3-d12
13,int.r3,-2.65244809323527,3-d13
14,int.r3,-2.63721329223784,3-d14
15,int.r3,-2.62639738466354,3-d15
1,app.mthd.bc.r3,0.266092481769781,3-d1
2,app.mthd.bc.r3,0.241602402075787,3-d2
3,app.mthd.bc.r3,0.255968047343101,3-d3
4,app.mthd.bc.r3,0.209893299235861,3-d4
5,app.mthd.bc.r3,0.205051930880985,3-d5
6,app.mthd.bc.r3,0.279449139175057,3-d6
7,app.mthd.bc.r3,0.252347779537308,3-d7
8,app.mthd.bc.r3,0.190130776115643,3-d8
9,app.mthd.bc.r3,0.237324418493359,3-d9
10,app.mthd.bc.r3,0.264505279233844,3-d10
11,app.mthd.bc.r3,0.243752322014276,3-d11
12,app.mthd.bc.r3,0.212748101599001,3-d12
13,app.mthd.bc.r3,0.238963352738898,3-d13
14,app.mthd.bc.r3,0.185382461535027,3-d14
15,app.mthd.bc.r3,0.193378350087337,3-d15
1,app.mthd.cs.r3,-0.300871750273247,3-d1
2,app.mthd.cs.r3,-0.32080471142023,3-d2
3,app.mthd.cs.r3,-0.370516834160238,3-d3
4,app.mthd.cs.r3,-0.335606163461802,3-d4
5,app.mthd.cs.r3,-0.378278388814508,3-d5
6,app.mthd.cs.r3,-0.377699364178054,3-d6
7,app.mthd.cs.r3,-0.364704742792404,3-d7
8,app.mthd.cs.r3,-0.242847470404949,3-d8
9,app.mthd.cs.r3,-0.328538828458688,3-d9
10,app.mthd.cs.r3,-0.349460730462081,3-d10
11,app.mthd.cs.r3,-0.307248223551918,3-d11
12,app.mthd.cs.r3,-0.240819444143474,3-d12
13,app.mthd.cs.r3,-0.19959922300025,3-d13
14,app.mthd.cs.r3,-0.301175739356191,3-d14
15,app.mthd.cs.r3,-0.501234483105192,3-d15
1,man.ph.r3,0.185727426212227,3-d1
2,man.ph.r3,0.202780751614365,3-d2
3,man.ph.r3,0.184633731068807,3-d3
4,man.ph.r3,0.219572382637578,3-d4
5,man.ph.r3,0.178692869999628,3-d5
6,man.ph.r3,0.19466032955099,3-d6
7,man.ph.r3,0.193649645698151,3-d7
8,man.ph.r3,0.187795150950031,3-d8
9,man.ph.r3,0.205930755647463,3-d9
10,man.ph.r3,0.195061265716613,3-d10
11,man.ph.r3,0.186757637382348,3-d11
12,man.ph.r3,0.192343337128047,3-d12
13,man.ph.r3,0.227854400561201,3-d13
14,man.ph.r3,0.17829915812969,3-d14
15,man.ph.r3,0.184809003187796,3-d15
1,incorp.shallow.f4,-1.31722857337361,3-d1
2,incorp.shallow.f4,-1.19521228066978,3-d2
3,incorp.shallow.f4,-1.49031846252665,3-d3
4,incorp.shallow.f4,-1.19419201830681,3-d4
5,incorp.shallow.f4,-1.27459546376125,3-d5
6,incorp.shallow.f4,-1.50242705844055,3-d6
7,incorp.shallow.f4,-1.41240619441018,3-d7
8,incorp.shallow.f4,-1.10573952726478,3-d8
9,incorp.shallow.f4,-1.37605565233693,3-d9
10,incorp.shallow.f4,-1.49376826622366,3-d10
11,incorp.shallow.f4,-1.49730290571186,3-d11
12,incorp.shallow.f4,-1.26245712108493,3-d12
13,incorp.shallow.f4,-1.46045746898695,3-d13
14,incorp.shallow.f4,-1.2997000703022,3-d14
15,incorp.shallow.f4,-1.1968364952975,3-d15
1,incorp.deep.f4,-2.15203013861278,3-d1
2,incorp.deep.f4,-2.26515405875813,3-d2
3,incorp.deep.f4,-2.39017511281306,3-d3
4,incorp.deep.f4,-2.59706601970928,3-d4
5,incorp.deep.f4,-1.92576987569394,3-d5
6,incorp.deep.f4,-2.05984739086203,3-d6
7,incorp.deep.f4,-2.187382625609,3-d7
8,incorp.deep.f4,-2.85351679792739,3-d8
9,incorp.deep.f4,-1.9171706785444,3-d9
10,incorp.deep.f4,-2.01764429049616,3-d10
11,incorp.deep.f4,-2.31517952262917,3-d11
12,incorp.deep.f4,-2.64815451328571,3-d12
13,incorp.deep.f4,-2.12691563939601,3-d13
14,incorp.deep.f4,-2.02374925141661,3-d14
15,incorp.deep.f4,-2.07584109875655,3-d15
1,incorp.deep.r3,-1.40928447685645,3-d1
2,incorp.deep.r3,-0.832288887882504,3-d2
3,incorp.deep.r3,-0.825424518016237,3-d3
4,incorp.deep.r3,-1.88243134775385,3-d4
5,incorp.deep.r3,-0.955498578629668,3-d5
6,incorp.deep.r3,-0.823482411120107,3-d6
7,incorp.deep.r3,-0.682220730343184,3-d7
8,incorp.deep.r3,-0.747356937444789,3-d8
9,incorp.deep.r3,-0.873509817328266,3-d9
10,incorp.deep.r3,-0.830567698309734,3-d10
11,incorp.deep.r3,-0.673683149125867,3-d11
12,incorp.deep.r3,-1.50651844931223,3-d12
13,incorp.deep.r3,-1.26778742346215,3-d13
14,incorp.deep.r3,-1.4167872049098,3-d14
15,incorp.deep.r3,-1.1840578719105,3-d15
1,app.rate.f0,-0.0270290724795201,3-d1
2,app.rate.f0,-0.0239500918350469,3-d2
3,app.rate.f0,-0.0275024820486681,3-d3
4,app.rate.f0,-0.0347039376466837,3-d4
5,app.rate.f0,-0.0246676316539405,3-d5
6,app.rate.f0,-0.0291104731253442,3-d6
7,app.rate.f0,-0.0300453662779097,3-d7
8,app.rate.f0,-0.027731246006808,3-d8
9,app.rate.f0,-0.0245753466527737,3-d9
10,app.rate.f0,-0.0276087672972041,3-d10
11,app.rate.f0,-0.0275318062790848,3-d11
12,app.rate.f0,-0.0296922857083634,3-d12
13,app.rate.f0,-0.0263798951294905,3-d13
14,app.rate.f0,-0.0259175614594041,3-d14
15,app.rate.f0,-0.0325839538309801,3-d15
1,int.r5,-1.81379356222902,3-d1
2,int.r5,-1.77771934424855,3-d2
3,int.r5,-1.79816120043829,3-d3
4,int.r5,-1.79179200641032,3-d4
5,int.r5,-1.77790885434687,3-d5
6,int.r5,-1.76797232986148,3-d6
7,int.r5,-1.79955937216778,3-d7
8,int.r5,-1.74436762939183,3-d8
9,int.r5,-1.78808191650059,3-d9
10,int.r5,-1.79241331897399,3-d10
11,int.r5,-1.79982893783886,3-d11
12,int.r5,-1.77210223032803,3-d12
13,int.r5,-1.80482611990301,3-d13
14,int.r5,-1.78917192085437,3-d14
15,int.r5,-1.76482388318504,3-d15
1,rain.rate.r5,-0.0251531945760945,3-d1
2,rain.rate.r5,-0.553914731583585,3-d2
3,rain.rate.r5,0.237545160184113,3-d3
4,rain.rate.r5,-0.324260998498689,3-d4
5,rain.rate.r5,-0.18508024739907,3-d5
6,rain.rate.r5,-0.443379865909695,3-d6
7,rain.rate.r5,-0.213297436613425,3-d7
8,rain.rate.r5,-0.275726528583615,3-d8
9,rain.rate.r5,0.047494136606724,3-d9
10,rain.rate.r5,-0.313657854254984,3-d10
11,rain.rate.r5,-0.286050400728303,3-d11
12,rain.rate.r5,-0.390144390537153,3-d12
13,rain.rate.r5,-0.280236309931305,3-d13
14,rain.rate.r5,-0.312129488597156,3-d14
15,rain.rate.r5,-0.299212628665688,3-d15
1,app.rate.app.mthd.inj.f0,0.0270290724795201,3-d1
2,app.rate.app.mthd.inj.f0,0.0239500918350469,3-d2
3,app.rate.app.mthd.inj.f0,0.0275024820486681,3-d3
4,app.rate.app.mthd.inj.f0,0.0347039376466837,3-d4
5,app.rate.app.mthd.inj.f0,0.0246676316539405,3-d5
6,app.rate.app.mthd.inj.f0,0.0291104731253442,3-d6
7,app.rate.app.mthd.inj.f0,0.0300453662779097,3-d7
8,app.rate.app.mthd.inj.f0,0.027731246006808,3-d8
9,app.rate.app.mthd.inj.f0,0.0245753466527737,3-d9
10,app.rate.app.mthd.inj.f0,0.0276087672972041,3-d10
11,app.rate.app.mthd.inj.f0,0.0275318062790848,3-d11
12,app.rate.app.mthd.inj.f0,0.0296922857083634,3-d12
13,app.rate.app.mthd.inj.f0,0.0263798951294905,3-d13
14,app.rate.app.mthd.inj.f0,0.0259175614594041,3-d14
15,app.rate.app.mthd.inj.f0,0.0325839538309801,3-d15
1,man.dm.app.mthd.inj.f0,-0.792588077409807,3-d1
2,man.dm.app.mthd.inj.f0,-0.979152506313426,3-d2
3,man.dm.app.mthd.inj.f0,-0.866570352823535,3-d3
4,man.dm.app.mthd.inj.f0,-0.838188806437218,3-d4
5,man.dm.app.mthd.inj.f0,-0.839931119057904,3-d5
6,man.dm.app.mthd.inj.f0,-0.855042855838097,3-d6
7,man.dm.app.mthd.inj.f0,-0.855562744308518,3-d7
8,man.dm.app.mthd.inj.f0,-0.74708741619813,3-d8
9,man.dm.app.mthd.inj.f0,-0.841549843551498,3-d9
10,man.dm.app.mthd.inj.f0,-0.854367280846051,3-d10
11,man.dm.app.mthd.inj.f0,-0.809565342000062,3-d11
12,man.dm.app.mthd.inj.f0,-0.896229935096315,3-d12
13,man.dm.app.mthd.inj.f0,-0.696814545213519,3-d13
14,man.dm.app.mthd.inj.f0,-0.845796145422171,3-d14
15,man.dm.app.mthd.inj.f0,-0.755554455005511,3-d15
