pars,parameter,value
f1,int.f0,0.576966068854873
f2,int.f0,1.32541162473216
f3,int.f0,1.23862321939659
f4,int.f0,0.790803185310916
f5,int.f0,0.861287550902182
f6,int.f0,0.695666766737783
f7,int.f0,-1.30433323326222
f8,int.f0,0.663614308448477
f9,int.f0,0.68240091618102
f10,int.f0,0.783782080303154
f11,int.f0,1.22896413060613
f12,int.f0,0.758805138378559
f13,int.f0,0.168216788519655
f14,int.f0,0.173021786985889
f20,int.f0,0.428234103967129
f21,int.f0,0.665790742153696
f22,int.f0,0.221824100948661
f23,int.f0,0.185904015286927
f24,int.f0,0.186294844327031
f25,int.f0,0.191914078586411
f26,int.f0,-0.255311569497379
f27,int.f0,-0.0252338378453256
f28,int.f0,0.453052986072326
f29,int.f0,0.453054505861782
ps3,int.f0,0.453054505861782
ps3lowr5,int.f0,0.453054505861782
ps3highr5,int.f0,0.453054505861782
dropweather,int.f0,0.355179239987636
dropprop,int.f0,0.99654325976777
dropapp,int.f0,0.385695825055458
loocv-104,int.f0,0.439270262806105
loocv-203,int.f0,0.391731683192744
loocv-207,int.f0,0.660281540743996
loocv-208,int.f0,0.373355867444642
loocv-209,int.f0,0.482140326867251
loocv-210,int.f0,0.401425361027806
loocv-212,int.f0,0.625897393689579
loocv-304,int.f0,0.397669290849217
loocv-305,int.f0,0.389630186554312
loocv-214,int.f0,-0.116198389337219
loocv-202,int.f0,0.680463860646908
loocv-204,int.f0,0.419237957286835
loocv-205,int.f0,0.50097428034248
loocv-206,int.f0,0.424389825079392
ps1,int.f0,-0.7364889
ps2,int.f0,-0.605683377135473
f1,app.mthd.os.f0,-3.08899815735163
f2,app.mthd.os.f0,-3.85100664681548
f3,app.mthd.os.f0,-3.66510389204112
f4,app.mthd.os.f0,-3.03662335358825
f5,app.mthd.os.f0,-3.03034940747852
f6,app.mthd.os.f0,-3.14043950095491
f7,app.mthd.os.f0,-2.82930280271749
f8,app.mthd.os.f0,-3.10513147684942
f9,app.mthd.os.f0,-3.12363047214068
f10,app.mthd.os.f0,-2.77758543347307
f11,app.mthd.os.f0,-2.91130200383207
f12,app.mthd.os.f0,-3.19271654229184
f13,app.mthd.os.f0,-2.40650521204066
f14,app.mthd.os.f0,-2.41462127744532
f20,app.mthd.os.f0,-2.83057883977684
f21,app.mthd.os.f0,-2.22872595883884
f22,app.mthd.os.f0,-2.75258983748535
f23,app.mthd.os.f0,-2.92124484233061
f24,app.mthd.os.f0,-2.92067237617259
f25,app.mthd.os.f0,-2.91851952848907
f26,app.mthd.os.f0,-2.61735539808109
f27,app.mthd.os.f0,-2.61781470178397
f28,app.mthd.os.f0,-2.89718102045955
f29,app.mthd.os.f0,-2.89718048754159
ps3,app.mthd.os.f0,-2.89718048754159
ps3lowr5,app.mthd.os.f0,-2.89718048754159
ps3highr5,app.mthd.os.f0,-2.89718048754159
dropweather,app.mthd.os.f0,-2.16636963360359
dropprop,app.mthd.os.f0,-1.52760351390791
dropapp,app.mthd.os.f0,
loocv-104,app.mthd.os.f0,-2.90273279796436
loocv-203,app.mthd.os.f0,-2.98199182439202
loocv-207,app.mthd.os.f0,-2.53894799094321
loocv-208,app.mthd.os.f0,-2.82835603325267
loocv-209,app.mthd.os.f0,-3.01060144676509
loocv-210,app.mthd.os.f0,-2.94839735676128
loocv-212,app.mthd.os.f0,-2.86192818983985
loocv-304,app.mthd.os.f0,-2.95403887303729
loocv-305,app.mthd.os.f0,-2.94959182605994
loocv-214,app.mthd.os.f0,-1.35584836705915
loocv-202,app.mthd.os.f0,-3.51514510990172
loocv-204,app.mthd.os.f0,-3.15421106668016
loocv-205,app.mthd.os.f0,-3.06856235744876
loocv-206,app.mthd.os.f0,-2.99917183867282
ps1,app.mthd.os.f0,-1.1717859
ps2,app.mthd.os.f0,-1.74351499199106
f1,app.rate.ni.f0,-0.0127042820198603
f2,app.rate.ni.f0,-0.0182380161891346
f3,app.rate.ni.f0,-0.0241812075728704
f4,app.rate.ni.f0,-0.0173544279476664
f5,app.rate.ni.f0,-0.0187237370816236
f6,app.rate.ni.f0,-0.0137938740432454
f7,app.rate.ni.f0,-0.0129913440979286
f8,app.rate.ni.f0,-0.0134739849333013
f9,app.rate.ni.f0,-0.0136175042290508
f10,app.rate.ni.f0,-0.0161849258556586
f11,app.rate.ni.f0,-0.0109141648646847
f12,app.rate.ni.f0,-0.0131022873297318
f13,app.rate.ni.f0,-0.00926603133025539
f14,app.rate.ni.f0,-0.00935417957099489
f20,app.rate.ni.f0,
f21,app.rate.ni.f0,
f22,app.rate.ni.f0,
f23,app.rate.ni.f0,
f24,app.rate.ni.f0,
f25,app.rate.ni.f0,
f26,app.rate.ni.f0,
f27,app.rate.ni.f0,
f28,app.rate.ni.f0,
f29,app.rate.ni.f0,
ps3,app.rate.ni.f0,
ps3lowr5,app.rate.ni.f0,
ps3highr5,app.rate.ni.f0,
dropweather,app.rate.ni.f0,
dropprop,app.rate.ni.f0,
dropapp,app.rate.ni.f0,
loocv-104,app.rate.ni.f0,
loocv-203,app.rate.ni.f0,
loocv-207,app.rate.ni.f0,
loocv-208,app.rate.ni.f0,
loocv-209,app.rate.ni.f0,
loocv-210,app.rate.ni.f0,
loocv-212,app.rate.ni.f0,
loocv-304,app.rate.ni.f0,
loocv-305,app.rate.ni.f0,
loocv-214,app.rate.ni.f0,
loocv-202,app.rate.ni.f0,
loocv-204,app.rate.ni.f0,
loocv-205,app.rate.ni.f0,
loocv-206,app.rate.ni.f0,
ps1,app.rate.ni.f0,
ps2,app.rate.ni.f0,-0.0111490009460872
f1,man.dm.f0,0.59040860550374
f2,man.dm.f0,0.672110907687632
f3,man.dm.f0,0.605776606086627
f4,man.dm.f0,0.481118662080039
f5,man.dm.f0,0.483545372480731
f6,man.dm.f0,0.48708433422763
f7,man.dm.f0,
f8,man.dm.f0,0.481451006016651
f9,man.dm.f0,0.485023091295881
f10,man.dm.f0,0.4577585713351
f11,man.dm.f0,
f12,man.dm.f0,0.462885145360016
f13,man.dm.f0,0.403218301327182
f14,man.dm.f0,0.406478320636757
f20,man.dm.f0,0.491783630625208
f21,man.dm.f0,0.433822539658691
f22,man.dm.f0,0.501199385321622
f23,man.dm.f0,0.524542693988768
f24,man.dm.f0,0.52429598644595
f25,man.dm.f0,0.517435926168928
f26,man.dm.f0,0.477843210301097
f27,man.dm.f0,0.458942764628135
f28,man.dm.f0,0.499562210924141
f29,man.dm.f0,0.499561755333794
ps3,man.dm.f0,0.499561755333794
ps3lowr5,man.dm.f0,0.499561755333794
ps3highr5,man.dm.f0,0.499561755333794
dropweather,man.dm.f0,0.527402764921345
dropprop,man.dm.f0,
dropapp,man.dm.f0,0.533167285076481
loocv-104,man.dm.f0,0.482387286565238
loocv-203,man.dm.f0,0.510079558057906
loocv-207,man.dm.f0,0.161206126286794
loocv-208,man.dm.f0,0.472548892394566
loocv-209,man.dm.f0,0.501339853987217
loocv-210,man.dm.f0,0.496661963044368
loocv-212,man.dm.f0,0.521372218574331
loocv-304,man.dm.f0,0.498878260919169
loocv-305,man.dm.f0,0.50044816375826
loocv-214,man.dm.f0,0.520358899196946
loocv-202,man.dm.f0,0.566510903475416
loocv-204,man.dm.f0,0.525918486529297
loocv-205,man.dm.f0,0.547318613322183
loocv-206,man.dm.f0,0.500206693751943
ps1,man.dm.f0,0.407466
ps2,man.dm.f0,0.399670699937794
f1,man.source.pig.f0,-1.06752535634962
f2,man.source.pig.f0,-1.02906887169284
f3,man.source.pig.f0,-1.02375326397885
f4,man.source.pig.f0,-0.949071515754936
