parameter,pars,value,mn,md,se,l90,u90,valcol,secol,cicol
int.f0,ps3,0.680327264426401,0.706064882132693,0.802682020371774,0.742121345060915,-0.711,1.439,0.68,0.742,"-0.711, 1.439"
app.mthd.os.f0,ps3,-2.62973688385967,-2.4364706686153,-2.43946381458937,1.0416998433634,-3.313,-1.301,-2.63,1.042,"-3.313, -1.301"
app.mthd.cs.f0,ps3,-5.25548090519472,-5.36519658842368,-5.25548090519472,2.40074320695029,-9.55,-3.216,-5.255,2.401,"-9.55, -3.216"
man.source.pig.f0,ps3,-1.31800763041106,-1.00070724724081,-1.01389907066843,0.889246972331635,-1.891,0.096,-1.318,0.889,"-1.891, 0.096"
man.dm.f0,ps3,0.15023849481803,0.325481016235769,0.203082219861116,0.340911934911796,-0.017,0.795,0.15,0.341,"-0.017, 0.795"
int.r1,ps3,-1.8886532997501,-1.84171310868555,-1.82086460071785,0.299697866951931,-2.346,-1.421,-1.889,0.3,"-2.346, -1.421"
app.mthd.bc.r1,ps3,0.772277576808786,0.648692181411978,0.702170563637187,0.34146534008352,0.006,1.157,0.772,0.341,"0.006, 1.157"
app.mthd.ts.r1,ps3,-0.165262101287184,-0.143848292404829,-0.157662206825877,0.224534502352545,-0.424,0.129,-0.165,0.225,"-0.424, 0.129"
man.dm.r1,ps3,0.100870790553508,0.0295508624298303,0.0666792437703816,0.0951949036741972,-0.154,0.136,0.101,0.095,"-0.154, 0.136"
man.ph.r1,ps3,0.52711970215996,0.464246363005515,0.451962863771816,0.179066181795327,0.212,0.856,0.527,0.179,"0.212, 0.856"
air.temp.r1,ps3,0.0417082601514465,0.0452325663782188,0.0403196959694761,0.0187534783248024,0.032,0.087,0.042,0.019,"0.032, 0.087"
wind.sqrt.r1,ps3,0.576904805530689,0.588526188429496,0.546537977766694,0.285775776798612,0.346,1.147,0.577,0.286,"0.346, 1.147"
int.r2,ps3,-1.56948618026718,-1.58827756851539,-1.49993382632069,0.289502223096088,-2.102,-1.291,-1.569,0.29,"-2.102, -1.291"
rain.rate.r2,ps3,0.796146283867681,0.957852798612097,0.762652291603321,0.677011199014359,0.219,2.01,0.796,0.677,"0.219, 2.01"
int.r3,ps3,-2.74649618601257,-2.79448944885118,-2.79142357421177,0.100735563960961,-2.956,-2.626,-2.746,0.101,"-2.956, -2.626"
app.mthd.cs.r3,ps3,-0.225040632936017,-0.199559308111829,-0.225040632936017,0.091387824494033,-0.331,-0.031,-0.225,0.091,"-0.331, -0.031"
incorp.shallow.r3,ps3,0.113671110110529,0.113671110110529,0.113671110110529,0,0.114,0.114,0.114,0,"0.114, 0.114"
incorp.deep.r3,ps3,-5.85566680661726,-5.85566680661726,-5.85566680661726,0,-5.856,-5.856,-5.856,0,"-5.856, -5.856"
man.ph.r3,ps3,0.05,0.05,0.05,0,0.05,0.05,0.05,0,"0.05, 0.05"
incorp.shallow.f4,ps3,-1.59501200711822,-1.59501200711822,-1.59501200711822,0,-1.595,-1.595,-1.595,0,"-1.595, -1.595"
incorp.deep.f4,ps3,-23.9732156018501,-23.9732156018501,-23.9732156018501,0,-23.973,-23.973,-23.973,0,"-23.973, -23.973"
int.r5,ps3,-1.8,-1.8,-1.8,0,-1.8,-1.8,-1.8,0,"-1.8, -1.8"
rain.rate.r5,ps3,0.179019339175281,-0.0271512394466363,-0.0718428762520823,1.64799839505066,-2.762,1.345,0.179,1.648,"-2.762, 1.345"
,ps3,0.102204540866738,0.0979517845351606,0.136771928551397,0.266588976145354,-0.265,0.382,0.102,0.267,"-0.265, 0.382"
