sida,pars,ct,sid,descrip,omit,man.source,man.dm,man.ph,man.tan,man.treat1,app.rate,tan.app,cereal.hght,incorp,time.incorp,air.temp,wind.2m,rain.rate,app.mthd,dt.x,rain.cum,app.rate.ni,man.dm.ni,wind.sqrt,app.mthd.ts,app.mthd.bc,app.mthd.os,app.mthd.cs,incorp.shallow,incorp.deep,man.source.pig,__group,__orig.order,__add.row,__f4,app.mthd.bsth,incorp.none,meas.tech.mm,nmax,km,j,er.int,er,dt.y,f,s,e,ei,f0,r1,r2,r3,f4,r5,jinst,n,lwr,upr
10bc,ALFAM,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,10bc,7728,FALSE,1,0,1,1,0.518740603197172,8.21912188763521,0.000138083291676971,0.000138083291676971,0.494545770082173,,,,,,,,,,,,,,,
10bc,ps01,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,10bc,7728,FALSE,1,0,1,1,,,0.0336964636346053,,0.30997096740733,1,4.82528383570884e-18,33.1213935644482,14.8786064355518,0.0336964636346053,0.323772401304441,0.142589846010638,0.111077705480687,0.00101684533371475,1,0,0.0336793344921388,,,
10bc,ps02,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,10bc,7728,FALSE,1,0,1,1,,,0.0544930479442378,,0.473370886592154,1,1.12084231891148e-19,25.2781974435766,22.7218025564234,0.0544930479442378,0.258909644928267,0.258853226391337,0.0158786853066665,0.00215341288111717,1,0,0.054434395986421,,,
10bc,ps03,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,bc,1,0,40,6,1.6431676725155,0,1,0,0,0,0,0,10bc,7728,FALSE,1,0,1,1,,,0.00281076066224628,,0.458910225972235,1,4.11117799451463e-11,1.54585305984322,22.0276908466673,0.00281076066224628,0.613594438864687,0.106199553165691,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00278602700330456,100,0.305936168530753,0.512417714732639
10bsth,ALFAM,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,10bsth,7896,FALSE,1,1,1,1,0.299313328036997,8.21912188763521,7.96740592955425e-05,7.96740592955425e-05,0.285352909330006,,,,,,,,,,,,,,,
10bsth,ps01,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,10bsth,7896,FALSE,1,1,1,1,,,0.038145234243693,,0.218869987127191,1,4.35423938554459e-10,37.4942406174594,10.5057593821052,0.038145234243693,0.323772401304441,0.0335543631133658,0.111077705480687,0.00101684533371475,1,0,0.0381258436276519,,,
10bsth,ps02,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,10bsth,7896,FALSE,1,1,1,1,,,0.0209310458096255,,0.263555113718312,1,0.000789978208048682,35.348564563313,12.650645458479,0.0209310458096255,0.258909644928267,0.0416417317713715,0.0158786853066665,0.000591000363671547,1,0,0.0209239105728299,,,
10bsth,ps03,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,bsth,1,0,40,6,1.6431676725155,0,0,0,0,0,0,0,10bsth,7896,FALSE,1,1,1,1,,,0.00441826093955733,,0.237969867501151,1,8.90234562490697e-05,2.42895849168927,11.4225536400553,0.00441826093955733,0.613594438864687,0.0193655308488638,0.0562856036059318,0.00180225861778936,1,0.0158489319246111,0.00437933536038791,100,0.169853854116361,0.287872620518573
10cs,ALFAM,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,10cs,8400,FALSE,1,0,1,1,0.281676147549642,8.21912188763521,7.49792273842531e-05,7.49792273842531e-05,0.268538353167564,,,,,,,,,,,,,,,
10cs,ps01,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,10cs,8400,FALSE,1,0,1,1,,,0.038145234243693,,0.218869987127191,1,4.35423938554459e-10,37.4942406174594,10.5057593821052,0.038145234243693,0.323772401304441,0.0335543631133658,0.111077705480687,0.00101684533371475,1,0,0.0381258436276519,,,
10cs,ps02,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,10cs,8400,FALSE,1,0,1,1,,,0.00598422549792588,,0.0213599645725309,1,8.05410049675644e-07,46.9747208951085,1.02527829948149,0.00598422549792588,0.00026396731942551,0.0416417317713715,0.0158786853066665,0.000127383616695658,1,0,0.00598384337955727,,,
10cs,ps03,168,10,cool,0,cat,6,7.5,1.2,none,40,48,0,none,,7,2.7,0,cs,1,0,0,0,1.6431676725155,0,0,0,1,0,0,0,10cs,8400,FALSE,1,0,1,1,,,0.00307117979052851,,0.0632421178005671,1,1.49285959856722e-06,2.78571890161036,3.03562165442722,0.00307117979052851,0.0102895392549555,0.0193655308488638,0.0562856036059318,0.00109314957419841,1,0.0158489319246111,0.00304523634115044,100,0.045594662345097,0.0858348325144895
