sid,descrip,bc,bsth,cs,os,ts,bc.red,bsth.red,ts.red,os.red,cs.red,bsth.bc.red,ts.bc.red,os.bc.red,cs.bc.red,ts.bsth.red,os.bsth.red,cs.bsth.red
1,ref,0.51,0.28,0.062,0.15,0.22,0,0,0,0,0,44,56,71,88,20,48,78
2,low DM,0.23,0.16,0.062,0.15,0.14,54,44,38,0,0,32,40,37,73,11,7.1,61
3,high DM,0.63,0.31,0.062,0.15,0.24,-25,-11,-7.4,0,0,51,62,77,90,23,53,80
4,pig,0.35,0.21,0.059,0.11,0.17,32,27,24,22,5.4,41,50,67,83,16,45,71
5,low application,0.61,0.33,0.062,0.15,0.26,-20,-17,-15,0,0,46,58,76,90,22,56,81
6,high application,0.29,0.18,0.062,0.15,0.15,44,37,33,1.1e-13,-4.4e-14,38,47,49,78,14,17,65
7,shallow incorp,0.38,0.19,0.06,0.12,0.16,26,33,30,16,3.7,49,58,67,84,17,35,68
8,deep incorp,0.24,0.067,0.0066,0.027,0.044,53,76,80,81,89,72,82,89,97,35,59,90
9,shallow incorp quick,0.25,0.16,0.059,0.11,0.14,51,45,39,24,5.4,37,44,55,76,12,28,62
10,cold,0.35,0.17,0.06,0.12,0.14,31,39,36,19,4.4,51,59,66,83,16,31,65
11,cool,0.44,0.22,0.061,0.13,0.18,14,21,20,9.8,2.3,49,59,70,86,19,41,73
12,warm,0.58,0.37,0.064,0.16,0.3,-13,-30,-32,-12,-2.8,36,48,71,89,19,55,83
13,hot,0.66,0.54,0.067,0.19,0.48,-29,-93,-120,-33,-7.5,17,26,70,90,11,64,88
14,cooling,0.51,0.28,0.062,0.15,0.22,0,0,0,0,0,44,56,71,88,20,48,78
15,warming,0.51,0.28,0.062,0.15,0.22,0,0,0,0,0,44,56,71,88,20,48,78
16,still,0.27,0.14,0.059,0.11,0.12,48,51,46,26,5.9,48,54,59,78,12,21,57
17,windy,0.64,0.51,0.067,0.19,0.45,-27,-82,-98,-29,-6.8,20,31,71,90,13,63,87
18,light rain,0.38,0.21,0.058,0.12,0.17,25,25,22,15,7,45,54,67,85,18,41,73
19,moderate rain,0.049,0.04,0.024,0.04,0.04,90,86,82,73,62,19,19,20,52,0.6,1.4,41
20,heavy rain,4e-05,3.3e-05,1.9e-05,3.3e-05,3.3e-05,100,100,100,100,100,16,16,16,52,0.0034,0.0057,42
21,pH 6.4,0.35,0.16,0.041,0.092,0.12,31,45,45,37,35,55,65,74,88,21,41,74
22,pH 6,0.29,0.12,0.035,0.077,0.098,43,56,56,48,44,57,66,74,88,20,38,72
23,tall cereal,0.51,0.28,0.062,0.15,0.22,0,0,0,0,0,44,56,71,88,20,48,78
24,"low DM, high application, cold, still",0.12,0.096,0.058,0.1,0.096,77,66,57,32,7.3,18,18,15,51,0.52,-3.5,40
25,"high DM, low application, hot, windy",0.97,0.92,0.068,0.21,0.88,-91,-230,-290,-43,-9.8,5.6,9.7,78,93,4.3,77,93
26,"high DM, low application, hot, windy, pH 6",0.93,0.76,0.043,0.16,0.67,-83,-170,-200,-12,31,18,28,82,95,13,78,94
27,best,0.0018,0.0012,0.00064,0.0014,0.0011,100,100,100,99,99,35,39,23,65,4.7,-20,46
